,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,LotArea,LotFrontage,BsmtFinSF1,BsmtUnfSF,OverallQual,GrLivArea,ExterQual,KitchenQual,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,Id,SalePrice,clusters
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8450,65.0,706,150,7,1710,3,3,2,548,856,856,2,8,2003,2003,1,208500,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9600,80.0,978,284,6,1262,2,2,2,460,1262,1262,2,6,1976,1976,2,181500,3
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11250,68.0,486,434,7,1786,3,3,2,608,920,920,2,6,2001,2002,3,223500,1
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9550,60.0,216,540,7,1717,2,3,3,642,756,961,1,7,1915,1970,4,140000,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14260,84.0,655,490,8,2198,3,3,3,836,1145,1145,2,9,2000,2000,5,250000,1
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14115,85.0,732,64,5,1362,2,2,2,480,796,796,1,5,1993,1995,6,143000,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10084,75.0,1369,317,8,1694,3,3,2,636,1686,1694,2,7,2004,2005,7,307000,2
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6120,51.0,0,952,7,1774,2,2,2,468,952,1022,2,8,1931,1950,9,129900,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7420,50.0,851,140,5,1077,2,2,1,205,991,1077,1,5,1939,1950,10,118000,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11200,70.0,906,134,5,1040,2,2,1,384,1040,1040,1,5,1965,1965,11,129500,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11924,85.0,998,177,9,2324,4,4,3,736,1175,1182,3,11,2005,2006,12,345000,2
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10652,91.0,0,1494,7,1494,3,3,3,840,1494,1494,2,7,2006,2007,14,279500,1
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6120,51.0,0,832,7,854,2,2,2,576,832,854,1,5,1929,2001,16,132000,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10791,72.0,0,0,4,1296,2,2,2,516,0,1296,2,6,1967,1967,18,90000,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13695,66.0,646,468,5,1114,2,3,2,576,1114,1114,1,6,2004,2004,19,159000,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7560,70.0,504,525,5,1339,2,2,1,294,1029,1339,1,6,1958,1965,20,139000,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14215,101.0,0,1158,8,2376,3,3,3,853,1158,1158,3,9,2005,2006,21,325300,2
21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7449,57.0,0,637,7,1108,2,3,1,280,637,1108,1,6,1930,1950,22,139400,0
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9742,75.0,0,1777,8,1795,3,3,2,534,1777,1795,2,7,2002,2002,23,230000,1
23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4224,44.0,840,200,5,1060,2,2,2,572,1040,1060,1,6,1976,1976,24,129900,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14230,110.0,0,1566,8,1600,3,3,3,890,1566,1600,2,7,2007,2007,26,256300,1
26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7200,60.0,234,180,5,900,2,3,2,576,900,900,1,5,1951,2000,27,134800,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11478,98.0,1218,486,8,1704,3,3,3,772,1704,1704,2,7,2007,2008,28,306000,2
28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16321,47.0,1277,207,5,1600,2,2,1,319,1484,1600,1,6,1957,1997,29,207500,3
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6324,60.0,0,520,4,520,2,1,1,240,520,520,1,4,1927,1950,30,68500,0
